"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_CONTINUOUS","DS002060","삼성전자","0193L0","SHORT","5/10","5/20","5","317","305","12","4","32.81","-0.1612","-0.3538","18.47","-5.0327","14.4905","-426324","573676","-42.6324"
"KRX_CONTINUOUS","DS003535","삼성전자","0193W0","LONG","3/20","5/30","NONE","249","232","17","6","31.33","-0.2076","-0.4059","21.49","-4.8169","7.6623","-426435","573565","-42.6435"
"KRX_CONTINUOUS","DS004171","삼성전자","0193L0","SHORT","3/30","10/30","NONE","206","189","17","5","28.64","-0.2521","-0.4250","24.87","-5.0225","13.8084","-426780","573220","-42.6780"
"KRX_CONTINUOUS","DS004207","삼성전자","0193W0","LONG","5/30","10/30","NONE","170","156","14","4","27.65","-0.3174","-0.5084","22.62","-4.7328","7.3307","-427106","572894","-42.7106"
"KRX_CONTINUOUS","DS000524","삼성전자","0193L0","SHORT","3/5","3/10","5","297","292","5","4","30.98","-0.1817","-0.2932","8.63","-3.0413","14.0707","-427850","572150","-42.7850"
"KRX_CONTINUOUS","DS004511","삼성전자","0193L0","SHORT","3/20","20/30","30","124","114","10","4","27.42","-0.4341","-0.5055","23.91","-8.6147","13.4411","-428455","571545","-42.8455"
"KRX_CONTINUOUS","DS004439","SK하이닉스","0197X0","SHORT","5/10","20/30","30","149","136","13","4","32.21","-0.3606","-0.5484","22.52","-4.7392","5.3477","-429185","570815","-42.9185"
"KRX_CONTINUOUS","DS002937","SK하이닉스","0193T0","LONG","3/10","3/30","10","145","138","7","4","28.97","-0.3681","-0.5668","19.39","-5.4485","5.6615","-429240","570760","-42.9240"
"KRX_CONTINUOUS","DS001111","SK하이닉스","0193T0","LONG","3/20","5/10","NONE","190","184","6","2","35.26","-0.2855","-0.3938","10.37","-6.6536","5.3457","-430738","569262","-43.0738"
"KRX_CONTINUOUS","DS000631","SK하이닉스","0193T0","LONG","3/20","3/10","NONE","190","185","5","2","32.63","-0.2888","-0.3996","9.16","-6.8416","5.2277","-431385","568615","-43.1385"
"KRX_CONTINUOUS","DS000607","삼성전자","0193W0","LONG","5/10","3/10","NONE","354","345","9","3","30.51","-0.1545","-0.3029","8.29","-2.1196","5.8406","-431674","568326","-43.1674"
"KRX_CONTINUOUS","DS001544","SK하이닉스","0193T0","LONG","5/10","3/20","5","264","254","10","6","31.44","-0.1963","-0.4659","15.41","-8.1219","7.7688","-431716","568284","-43.1716"
