"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"INTEGRATED_CONTINUOUS","DS004235","SK하이닉스","0193T0","LONG","10/30","10/30","30","43","39","4","1","20.93","-0.3523","-0.9449","26.35","-2.9139","10.3433","-148911","851089","-14.8911"
"INTEGRATED_CONTINUOUS","DS001919","삼성전자","0193L0","SHORT","20/30","3/20","30","49","46","3","2","20.41","-0.3240","-0.4674","13.88","-2.0333","2.9527","-148978","851022","-14.8978"
"INTEGRATED_CONTINUOUS","DS003647","삼성전자","0193L0","SHORT","10/20","5/30","30","79","77","2","2","27.85","-0.1964","-0.4294","23.48","-3.0369","7.1481","-149177","850823","-14.9177"
"INTEGRATED_CONTINUOUS","DS000643","SK하이닉스","0197X0","SHORT","3/20","3/10","NONE","218","212","6","2","38.07","-0.0648","-0.3242","10.23","-5.3553","4.9113","-149351","850649","-14.9351"
"INTEGRATED_CONTINUOUS","DS000912","삼성전자","0193L0","SHORT","10/30","3/10","50","64","64","0","2","28.13","-0.2496","-0.2189","9.77","-3.4571","1.9667","-149365","850635","-14.9365"
"INTEGRATED_CONTINUOUS","DS000719","삼성전자","0193L0","SHORT","5/20","3/10","30","90","88","2","2","31.11","-0.1772","-0.2840","8.47","-1.7818","2.5949","-149430","850570","-14.9430"
"INTEGRATED_CONTINUOUS","DS000284","삼성전자","0193L0","SHORT","10/20","3/5","5","107","107","0","2","28.97","-0.1499","-0.2377","4.88","-1.2793","2.6459","-150075","849925","-15.0075"
"INTEGRATED_CONTINUOUS","DS001835","SK하이닉스","0193T0","LONG","10/30","3/20","30","43","41","2","1","23.26","-0.3727","-0.4887","15.35","-1.6215","3.5428","-150081","849919","-15.0081"
"INTEGRATED_CONTINUOUS","DS000131","삼성전자","0193W0","LONG","5/10","3/5","30","146","144","2","2","23.97","-0.1069","-0.2786","5.00","-1.7273","5.1590","-150173","849827","-15.0173"
"INTEGRATED_CONTINUOUS","DS000850","삼성전자","0193W0","LONG","5/30","3/10","20","106","104","2","2","25.47","-0.1488","-0.2981","8.72","-1.7469","4.5643","-150264","849736","-15.0264"
"INTEGRATED_CONTINUOUS","DS004592","삼성전자","0193W0","LONG","10/20","20/30","5","125","114","11","3","36.80","-0.1050","-0.4252","30.07","-4.9596","7.3307","-150348","849652","-15.0348"
"INTEGRATED_CONTINUOUS","DS000310","SK하이닉스","0197X0","SHORT","3/30","3/5","20","114","110","4","1","31.58","-0.1392","-0.2214","5.71","-3.2730","4.2892","-150406","849594","-15.0406"
"INTEGRATED_CONTINUOUS","DS000359","SK하이닉스","0197X0","SHORT","5/30","3/5","30","59","59","0","2","28.81","-0.2723","-0.2000","5.29","-3.2730","3.4866","-150515","849485","-15.0515"
"INTEGRATED_CONTINUOUS","DS003202","삼성전자","0193W0","LONG","3/30","3/30","20","113","107","6","2","26.55","-0.1372","-0.4135","15.21","-2.0256","5.1333","-150553","849447","-15.0553"
"INTEGRATED_CONTINUOUS","DS000897","삼성전자","0193W0","LONG","10/30","3/10","10","118","114","4","2","26.27","-0.1340","-0.2962","8.00","-2.6319","3.7654","-151038","848962","-15.1038"
"INTEGRATED_CONTINUOUS","DS001136","삼성전자","0193W0","LONG","3/20","5/10","5","202","194","8","3","33.17","-0.0747","-0.3165","10.29","-1.8994","5.1443","-151072","848928","-15.1072"
"INTEGRATED_CONTINUOUS","DS001724","삼성전자","0193L0","SHORT","10/20","3/20","5","107","104","3","2","31.78","-0.1450","-0.5041","15.98","-1.9850","6.2860","-151197","848803","-15.1197"
"INTEGRATED_CONTINUOUS","DS001907","삼성전자","0193W0","LONG","20/30","3/20","30","52","50","2","1","28.85","-0.3098","-0.5494","13.13","-1.6021","3.9310","-151213","848787","-15.1213"
"INTEGRATED_CONTINUOUS","DS000296","SK하이닉스","0193T0","LONG","3/30","3/5","5","134","132","2","1","33.58","-0.1168","-0.2544","5.28","-2.9320","5.7207","-151243","848757","-15.1243"
"INTEGRATED_CONTINUOUS","DS000369","삼성전자","0193W0","LONG","5/30","3/5","10","130","128","2","2","23.85","-0.1221","-0.2856","5.02","-1.5731","5.0766","-151265","848735","-15.1265"
"INTEGRATED_CONTINUOUS","DS004691","삼성전자","0193W0","LONG","5/30","20/30","30","66","60","6","2","28.79","-0.2323","-0.4512","24.05","-3.0279","5.6580","-151332","848668","-15.1332"
"INTEGRATED_CONTINUOUS","DS002832","삼성전자","0193L0","SHORT","10/30","10/20","50","64","60","4","3","25.00","-0.2501","-0.4656","18.28","-2.7812","5.5882","-151947","848053","-15.1947"
"INTEGRATED_CONTINUOUS","DS002783","삼성전자","0193L0","SHORT","5/30","10/20","30","66","64","2","2","30.30","-0.2448","-0.3576","21.67","-1.7665","3.6569","-152213","847787","-15.2213"
"INTEGRATED_CONTINUOUS","DS003084","SK하이닉스","0193T0","LONG","5/20","3/30","50","67","66","1","2","31.34","-0.2343","-0.5955","19.84","-3.0046","5.3006","-152307","847693","-15.2307"
"INTEGRATED_CONTINUOUS","DS000910","삼성전자","0193L0","SHORT","10/30","3/10","20","85","84","1","2","36.47","-0.1907","-0.1787","9.98","-3.4571","2.6163","-152330","847670","-15.2330"
"INTEGRATED_CONTINUOUS","DS004499","삼성전자","0193W0","LONG","3/20","20/30","30","107","98","9","4","36.45","-0.1372","-0.2773","22.45","-4.3481","7.6623","-152365","847635","-15.2365"
"INTEGRATED_CONTINUOUS","DS003263","삼성전자","0193L0","SHORT","5/30","3/30","30","66","64","2","2","22.73","-0.2469","-0.5204","17.09","-1.3424","3.6569","-152852","847148","-15.2852"
"INTEGRATED_CONTINUOUS","DS004246","SK하이닉스","0197X0","SHORT","10/30","10/30","20","102","97","5","1","37.25","-0.1405","-0.2837","24.71","-4.3224","11.9571","-153200","846800","-15.3200"
"INTEGRATED_CONTINUOUS","DS004224","삼성전자","0193L0","SHORT","5/30","10/30","50","77","71","6","3","22.08","-0.2086","-0.5291","25.47","-1.9045","3.3774","-153226","846774","-15.3226"
"INTEGRATED_CONTINUOUS","DS004596","삼성전자","0193W0","LONG","10/20","20/30","50","83","80","3","3","34.94","-0.1777","-0.2000","27.67","-4.9596","5.7678","-153312","846688","-15.3312"
"INTEGRATED_CONTINUOUS","DS000132","삼성전자","0193W0","LONG","5/10","3/5","50","153","151","2","2","24.84","-0.1047","-0.2757","4.92","-1.7273","5.1590","-153763","846237","-15.3763"
"INTEGRATED_CONTINUOUS","DS000765","삼성전자","0193L0","SHORT","10/20","3/10","10","152","151","1","2","32.89","-0.1072","-0.2000","8.86","-1.3164","2.4497","-153948","846052","-15.3948"
"INTEGRATED_CONTINUOUS","DS004483","SK하이닉스","0197X0","SHORT","3/20","20/30","NONE","218","195","23","8","40.83","-0.0218","-0.2580","34.44","-10.9955","11.8699","-154272","845728","-15.4272"
"INTEGRATED_CONTINUOUS","DS001344","삼성전자","0193L0","SHORT","5/30","5/10","50","77","75","2","2","25.97","-0.2146","-0.4019","9.52","-1.2984","3.0996","-154400","845600","-15.4400"
"INTEGRATED_CONTINUOUS","DS002384","삼성전자","0193W0","LONG","20/30","5/20","5","77","74","3","2","32.47","-0.2120","-0.5067","16.09","-1.7271","3.2761","-154575","845425","-15.4575"
"INTEGRATED_CONTINUOUS","DS004044","SK하이닉스","0193T0","LONG","5/20","10/30","50","67","65","2","4","29.85","-0.2211","-0.7408","26.31","-3.2319","9.2110","-154597","845403","-15.4597"
"INTEGRATED_CONTINUOUS","DS001904","삼성전자","0193W0","LONG","20/30","3/20","5","77","75","2","2","28.57","-0.2130","-0.5006","14.21","-1.6021","3.9310","-154730","845270","-15.4730"
"INTEGRATED_CONTINUOUS","DS004582","SK하이닉스","0197X0","SHORT","10/20","20/30","20","80","71","9","4","36.25","-0.1817","-0.3451","29.44","-7.8082","10.1819","-154748","845252","-15.4748"
"INTEGRATED_CONTINUOUS","DS002638","삼성전자","0193L0","SHORT","5/20","10/20","20","69","64","5","2","31.88","-0.2388","-0.3285","19.33","-2.3218","3.6569","-155179","844821","-15.5179"
"INTEGRATED_CONTINUOUS","DS001293","삼성전자","0193L0","SHORT","3/30","5/10","10","138","134","4","3","35.51","-0.1176","-0.2528","10.70","-2.4503","3.3583","-155197","844803","-15.5197"
"INTEGRATED_CONTINUOUS","DS000717","삼성전자","0193L0","SHORT","5/20","3/10","10","141","138","3","2","34.75","-0.1168","-0.2548","8.60","-1.5995","3.6335","-155586","844414","-15.5586"
"INTEGRATED_CONTINUOUS","DS001375","삼성전자","0193W0","LONG","10/30","5/10","NONE","125","121","4","2","29.60","-0.1306","-0.3022","8.43","-1.6602","4.0196","-155626","844374","-15.5626"
"INTEGRATED_CONTINUOUS","DS000895","삼성전자","0193W0","LONG","10/30","3/10","NONE","125","121","4","2","27.20","-0.1309","-0.2904","8.38","-2.6319","3.7654","-155845","844155","-15.5845"
"INTEGRATED_CONTINUOUS","DS003106","삼성전자","0193W0","LONG","5/20","3/30","20","81","77","4","3","30.86","-0.2021","-0.4412","18.05","-3.3968","5.1333","-155887","844113","-15.5887"
"INTEGRATED_CONTINUOUS","DS001642","SK하이닉스","0193T0","LONG","5/20","3/20","20","75","72","3","2","32.00","-0.2181","-0.5955","13.93","-2.5061","4.1258","-156075","843925","-15.6075"
"INTEGRATED_CONTINUOUS","DS001859","삼성전자","0193W0","LONG","10/30","3/20","30","50","49","1","2","22.00","-0.3340","-0.5240","13.68","-2.8219","3.1045","-156152","843848","-15.6152"
"INTEGRATED_CONTINUOUS","DS000192","삼성전자","0193L0","SHORT","3/20","3/5","50","122","118","4","2","28.69","-0.1369","-0.2570","5.16","-1.3424","3.1436","-156270","843730","-15.6270"
"INTEGRATED_CONTINUOUS","DS003200","삼성전자","0193W0","LONG","3/30","3/30","5","166","160","6","2","33.13","-0.0953","-0.3724","15.42","-2.0256","5.1333","-156449","843551","-15.6449"
"INTEGRATED_CONTINUOUS","DS004198","SK하이닉스","0197X0","SHORT","5/30","10/30","20","95","90","5","2","35.79","-0.1517","-0.3078","25.91","-7.2757","12.6247","-156917","843083","-15.6917"
"INTEGRATED_CONTINUOUS","DS004546","삼성전자","0193W0","LONG","5/20","20/30","20","81","71","10","3","37.04","-0.1937","-0.2000","24.35","-4.2274","7.4410","-157184","842816","-15.7184"
